Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,10380,78.77649325626204,74.02592487922085,95.5,62.5,76.9,73.0,78.9,84.9,61.4,88.7,49.3,75.3,89.9,62.0,82.4,58.8,77.1,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,40919,84.89943547007502,81.21073828083955,96.0,67.9,87.6,73.0,81.9,90.4,69.3,88.5,70.5,87.6,93.1,68.6,88.0,71.8,84.6,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,10379,78.84189228249349,73.9885509146099,94.2,63.8,77.4,70.0,79.1,87.2,62.5,87.7,49.8,72.8,90.6,63.1,82.2,58.2,75.8,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,40919,80.11681614897725,73.48574705700655,88.0,56.9,84.0,84.5,76.2,89.6,58.3,87.3,41.5,83.6,88.8,57.6,85.6,55.7,79.7,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,10379,74.8530686964062,67.55438980951341,77.7,47.8,82.0,86.9,75.9,87.2,53.3,84.4,31.2,76.3,82.2,50.4,83.2,45.9,76.1,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,10379,78.04220059736005,73.70251005720706,69.8,67.2,89.5,73.2,78.8,92.8,63.5,80.4,50.9,78.8,79.7,65.3,84.7,60.0,78.8,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,40919,83.67750922554316,79.03660464807815,92.5,59.7,88.8,85.0,80.5,92.5,70.3,87.1,55.2,86.3,92.5,64.6,87.9,66.9,83.3,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,10379,77.41593602466519,71.81672288795015,86.6,47.6,86.0,86.6,76.6,91.6,66.6,82.0,40.4,74.3,89.0,55.6,83.9,55.1,75.5,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,10379,76.8185759707101,72.55803841479737,70.1,64.5,87.0,67.4,80.2,87.5,60.3,81.6,55.4,75.1,77.8,62.3,84.2,60.8,77.6,../metadata/mass_ss1_with_channel_eeg_c3_to_mass_ss1_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss1_eeg_c3_to_mass_ss1_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,11273,86.85354386587422,82.54749113579412,87.8,61.7,93.0,91.5,79.3,91.9,58.7,89.5,82.4,91.1,89.8,60.2,91.2,86.7,84.8,../metadata/mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,47800,87.02510460251047,83.47826060108396,92.9,71.9,95.4,71.8,83.0,89.4,58.4,85.6,98.0,95.2,91.1,64.4,90.2,82.9,88.7,../metadata/mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,11273,86.35678169076557,82.04985422203923,90.1,67.2,94.7,76.4,79.2,89.5,53.0,85.9,97.1,93.0,89.8,59.3,90.1,85.6,85.5,../metadata/mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,47800,83.31589958158996,77.85084847721141,85.9,52.7,92.2,76.2,78.1,83.2,47.7,85.5,91.5,88.1,84.5,50.1,88.7,83.2,82.8,../metadata/mass_ss3_with_channel_eeg_c4_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
