Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,11273,87.44788432537922,83.0416925713745,86.6,60.3,93.8,92.5,80.9,91.4,58.3,90.1,87.3,90.2,88.9,59.3,91.9,89.8,85.3,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,34308,78.09840270490848,72.48587801820665,77.1,42.3,89.0,89.5,65.5,85.4,36.5,74.2,82.1,89.6,81.0,39.2,80.9,85.6,75.7,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,7910,80.22756005056891,75.75538683987574,74.6,52.9,88.8,98.3,67.6,92.9,43.4,78.6,80.4,88.1,82.8,47.7,83.4,88.5,76.5,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,34308,69.13547860557304,53.96839239706136,79.3,38.6,69.2,100.0,64.9,82.6,33.0,86.7,2.1,81.5,80.9,35.6,77.0,4.1,72.3,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,7910,68.48293299620734,54.63980959849154,76.5,41.5,69.7,100.0,62.1,94.5,32.0,90.5,3.4,73.1,84.6,36.1,78.8,6.6,67.2,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,7910,87.40834386852084,82.74497035224397,89.6,60.0,88.7,96.2,84.2,94.7,49.9,92.1,85.3,88.6,92.1,54.5,90.4,90.5,86.3,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,34308,82.84073685437798,76.82662616306081,80.7,56.8,90.9,87.9,73.6,94.7,36.6,79.6,86.1,89.2,87.1,44.5,84.8,87.0,80.7,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,7910,84.70290771175726,78.44305363509987,86.8,61.1,89.4,96.6,69.3,96.8,34.7,87.3,81.9,92.9,91.5,44.3,88.4,88.6,79.4,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,7910,88.28065739570164,83.84062306088155,91.7,64.7,89.7,97.5,80.9,94.8,51.9,92.5,86.8,90.4,93.3,57.6,91.1,91.9,85.4,../metadata/mass_ss3_with_channel_eeg_f4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_f4_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
mass_ss3_with_channel_eeg_f4_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,11273,88.02448327863036,83.5008493779418,86.4,62.9,93.9,84.8,86.0,90.9,59.2,90.8,92.3,88.3,88.6,61.0,92.3,88.4,87.1,../metadata/mass_ss3_with_channel_eeg_f4_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
