Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,11273,87.37691830036371,82.77746833637926,88.2,58.6,91.4,90.3,87.8,91.0,63.9,91.8,76.5,89.6,89.6,61.2,91.6,82.8,88.7,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,47800,89.15899581589956,85.78114303430428,89.9,67.3,93.8,88.7,86.9,94.0,69.0,91.3,84.7,92.6,91.9,68.1,92.5,86.7,89.7,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,11273,86.55193825955824,82.08559002357686,85.9,57.6,91.8,93.9,82.9,92.4,62.3,90.6,78.1,87.3,89.0,59.9,91.2,85.3,85.0,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,47800,78.88702928870293,75.83374947935405,87.0,50.2,92.5,85.6,61.5,86.7,52.2,75.7,82.3,92.8,86.8,51.2,83.3,83.9,74.0,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,11273,75.17076199769359,73.02369948683213,83.9,46.6,91.9,84.9,56.5,87.9,50.2,68.0,80.0,93.5,85.9,48.3,78.2,82.4,70.4,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,11273,87.90916348798012,83.37552847756,89.6,61.7,93.0,89.9,83.3,91.2,59.6,91.8,84.6,89.5,90.4,60.7,92.4,87.1,86.3,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,47800,87.08995815899581,83.29990386120033,92.0,66.1,92.7,91.0,77.9,89.3,61.2,89.4,80.4,95.6,90.7,63.6,91.0,85.3,85.9,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,11273,83.84635855584139,79.91437114863592,88.2,59.7,91.9,94.3,70.6,88.5,57.0,85.0,75.7,94.1,88.3,58.3,88.3,84.0,80.7,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,11273,88.37931340370797,84.01495603309019,91.7,64.1,91.1,90.8,87.2,89.6,61.1,93.9,83.6,87.3,90.7,62.6,92.5,87.1,87.3,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
