Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
isruc_with_channel_eeg_o2_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,7910,87.44627054361568,82.78589414704669,88.2,58.6,89.6,96.8,84.4,96.6,50.7,91.2,86.3,87.1,92.2,54.4,90.4,91.2,85.7,../metadata/isruc_with_channel_eeg_o2_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,17176,78.12063344201209,76.56410085656701,87.1,52.8,76.6,89.0,78.0,86.3,47.7,79.0,85.5,84.3,86.7,50.1,77.8,87.2,81.0,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,69685,74.81667503766951,71.61937400627663,88.4,57.0,68.0,80.1,80.7,84.0,44.8,81.2,88.8,52.4,86.1,50.2,74.0,84.2,63.5,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,17176,71.75128085700976,69.10180087363561,83.8,56.8,64.3,78.2,79.8,82.3,41.3,78.4,91.3,47.8,83.1,47.8,70.6,84.2,59.7,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,69685,72.99705819042835,70.58583220942526,86.9,43.8,70.9,86.0,71.7,76.3,48.7,79.4,81.3,63.1,81.2,46.1,74.9,83.6,67.1,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,17176,74.18490917559384,72.60389642573533,87.0,48.2,70.9,87.0,76.0,78.6,48.3,80.1,83.6,68.0,82.6,48.2,75.2,85.3,71.8,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,17176,78.83092687470891,77.38134474261815,89.2,57.0,77.6,84.5,79.0,85.6,51.6,78.3,91.9,79.7,87.4,54.2,78.0,88.1,79.3,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,69685,76.4396929037813,73.7308086332613,82.4,53.0,74.1,84.1,83.2,89.2,50.0,78.7,87.3,59.7,85.7,51.4,76.3,85.7,69.5,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,17176,75.29110386585934,73.33830218667805,76.5,52.9,73.2,86.0,83.2,89.3,46.0,75.8,91.0,63.7,82.4,49.2,74.5,88.5,72.2,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,17176,78.49324639031207,77.52785677978488,86.2,49.9,77.9,91.9,86.3,86.4,59.3,79.8,86.5,73.3,86.3,54.2,78.8,89.1,79.2,../metadata/isruc_with_channel_eeg_o2_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
