Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7910,86.48546144121366,81.40206035059647,84.2,54.1,92.7,95.9,80.0,96.3,48.1,88.0,90.5,85.8,89.9,50.9,90.3,93.1,82.8,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,69685,54.36033579679989,49.83931972681345,74.9,29.9,54.8,91.2,36.2,47.5,16.4,73.4,43.9,70.8,58.1,21.2,62.7,59.3,47.9,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,17176,55.0652072659525,50.467195101961096,70.0,32.8,53.8,93.0,40.0,50.3,12.5,73.9,47.2,69.6,58.6,18.1,62.3,62.6,50.8,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,69685,71.36112506278252,68.21700433125217,78.3,48.1,67.2,83.1,75.1,77.8,41.8,79.3,82.0,54.2,78.1,44.7,72.7,82.5,63.0,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,17176,71.61155100139729,69.46792168166863,73.2,50.1,67.5,86.1,78.8,78.2,39.9,78.2,84.3,62.4,75.6,44.4,72.4,85.2,69.7,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,17176,80.14089427107592,78.46941764792065,85.2,58.3,77.5,89.9,84.0,88.5,49.2,82.5,89.5,81.1,86.8,53.4,79.9,89.7,82.5,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,69685,72.25801822486906,69.92911102039908,77.8,45.6,72.3,83.1,73.8,81.9,48.9,72.3,84.8,60.4,79.8,47.2,72.3,84.0,66.4,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,17176,71.96669771774569,70.50744797242302,76.5,47.2,72.6,81.5,75.4,81.9,48.6,70.3,87.3,64.9,79.1,47.9,71.4,84.3,69.7,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,17176,77.36958546809501,76.08710085443165,84.5,50.1,77.6,87.2,81.7,85.7,53.2,76.5,89.9,74.8,85.1,51.6,77.1,88.5,78.1,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7910,87.15549936788875,82.8691519401192,93.0,57.6,87.5,97.4,83.8,91.5,55.1,93.2,83.5,87.6,92.2,56.3,90.3,89.9,85.6,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,40919,65.48302744446346,57.8618026962366,66.4,33.2,70.4,82.3,66.9,65.8,26.4,84.6,43.2,55.0,66.1,29.4,76.8,56.6,60.3,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,10379,61.200501011658154,52.91043488021949,52.8,31.1,68.4,88.2,72.6,58.7,23.5,83.1,26.2,61.9,55.6,26.8,75.0,40.4,66.8,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
