Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,11273,87.50110884414086,82.66341255227985,86.8,60.9,90.9,92.2,87.5,92.3,61.0,92.6,74.4,90.1,89.5,61.0,91.7,82.4,88.8,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,47800,88.74058577405857,84.99859006136009,86.8,65.7,93.2,90.6,87.4,94.8,67.7,91.9,82.1,90.4,90.7,66.7,92.6,86.2,88.9,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,11273,86.35678169076557,81.45538681482728,82.5,57.5,91.9,94.3,83.4,93.6,60.2,91.1,76.4,86.3,87.7,58.8,91.5,84.4,84.9,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,47800,81.86610878661087,78.10318551450038,89.0,52.8,93.2,82.4,68.6,86.0,54.9,80.8,86.1,91.7,87.4,53.8,86.6,84.2,78.5,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,11273,78.44406990153465,75.45590752699349,86.0,48.4,92.7,82.8,62.5,87.4,53.8,74.0,83.2,91.8,86.7,50.9,82.3,83.0,74.4,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,11273,86.71161181584316,82.32104357123748,86.6,60.6,93.2,87.6,80.9,93.3,58.5,89.4,86.3,87.5,89.8,59.5,91.3,87.0,84.1,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss3_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,47800,88.38284518828449,84.63195497917717,94.6,67.7,92.8,88.8,82.5,87.5,63.9,91.4,83.8,94.7,90.9,65.8,92.1,86.2,88.2,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,11273,87.14627871906325,82.59007722823996,90.8,59.8,91.8,91.0,82.8,87.1,61.4,91.3,79.8,91.2,88.9,60.6,91.6,85.0,86.8,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,11273,87.91803424110707,83.26843985564206,90.7,60.1,91.7,91.6,85.7,89.4,60.7,93.5,83.1,86.6,90.1,60.4,92.6,87.2,86.2,../metadata/mass_ss3_with_channel_eeg_c3_to_mass_ss3_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss3_eeg_c3_to_mass_ss3_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
mass_ss3_with_channel_eeg_f3_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,11273,86.69387030958929,82.67525399872261,91.1,62.3,92.6,88.3,79.7,87.5,61.4,88.6,82.9,93.9,89.2,61.9,90.5,85.5,86.2,../metadata/mass_ss3_with_channel_eeg_f3_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f3_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
