source_dataset,source_channel,target_dataset,target_channel,acc_type3,mf1_type3,acc_type6,mf1_type6,acc_type9,mf1_type9
mass_ss4,eeg_o2,mass_ss2,eeg_f4,,,,,,
mass_ss4,eeg_o2,mass_ss5,eeg_f4,,,,,,
mass_ss5,eeg_c4,mass_ss2,eeg_f4,,,,,,
mass_ss5,eeg_c4,mass_ss5,eeg_f4,,,,,,
mass_ss5,eeg_f3,mass_ss5,eeg_f4,,,,,,
mass_ss5,eeg_f4,mass_ss2,eeg_f4,,,,,,
mass_ss5,eeg_o2,mass_ss2,eeg_f4,,,,,,
mass_ss5,eeg_o2,mass_ss5,eeg_f4,,,,,,
mass_ss5,eeg_pz,mass_ss2,eeg_f4,,,,,,
mass_ss5,eeg_pz,mass_ss5,eeg_f4,,,,,,
shhs1_normal,eeg_c4_a1,sleepedf,eeg_fpz_cz,0.7408933731230164,0.47039835135176655,0.922836435981242,0.759495718719257,0.9324049073942494,0.7451310692690166
shhs1_normal,eeg_c4_a1,isruc1,eeg_f4_a1,0.7149425287356321,0.6224178800928925,0.7840229885057471,0.7556959300937891,0.7929885057471264,0.7613338505059458
shhs1_normal,eeg_c4_a1,mass_ss1,eeg_f4,0.7090136054421768,0.6091081049514954,0.8125850340136055,0.7467325039326441,0.811734693877551,0.7567709988336118
shhs1_normal,eeg_c4_a1,mass_ss3,eeg_f4,0.7382057810393889,0.6372519401055075,0.8638610154260895,0.7966380516213861,0.8680545155009735,0.7995329966508973
shhs1_osa,eeg_c4_a1,sleepedf,eeg_fpz_cz,0.6268769835630714,0.46373150866395807,0.922836435981242,0.759495718719257,0.9253943441807588,0.7820260357964407
shhs1_osa,eeg_c4_a1,isruc1,eeg_f4_a1,0.6845977011494253,0.6044868370018563,0.7839080459770115,0.7556022822063221,0.7894252873563219,0.7563289292539869
shhs1_osa,eeg_c4_a1,mass_ss1,eeg_f4,0.7153061224489796,0.6276511908918737,0.8125850340136055,0.7467325039326441,0.8181972789115646,0.7662058666943995
shhs1_osa,eeg_c4_a1,mass_ss3,eeg_f4,0.7831361389845739,0.6788078806092199,0.8640107832859069,0.79675688142277,0.8770405870900105,0.8214590299869536
sleepedf,eeg_fpz_cz,isruc1,eeg_c4_a1,0.6396551724137931,0.5748129801716345,0.7886206896551724,0.7566297903658958,0.7831034482758621,0.7499735617438781
sleepedf,eeg_fpz_cz,mass_ss1,eeg_c4,0.661734693877551,0.5740557084539352,0.8085034013605442,0.7355174120943759,0.8120748299319728,0.7178947889724194
sleepedf,eeg_fpz_cz,mass_ss3,eeg_c4,0.7787928710498727,0.668659415511297,0.8604163546502921,0.7879422872632608,0.8541261045379661,0.7803501717832656
sleepedf,eeg_fpz_cz,shhs1_normal,eeg_c4_a1,0.6779826358404059,0.5828411912354736,0.8054823919617599,0.6850581652124856,0.8012876792508048,0.7112272066292277
sleepedf,eeg_fpz_cz,shhs1_osa,eeg_c4_a1,0.6561712846347607,0.5684914407293384,0.7762061615965898,0.6604079410935666,0.7957760124006975,0.704134414948192
sleepedf,eeg_pz_oz,isruc1,eeg_c4_a1,0.5734482758620689,0.5291783432563592,0.7886206896551724,0.7566297903658958,0.7943678160919541,0.7621380260262571
sleepedf,eeg_pz_oz,mass_ss1,eeg_c4,0.6261904761904762,0.5389254612622186,0.8083333333333333,0.735387557082207,0.8125850340136055,0.7262088092041772
sleepedf,eeg_pz_oz,mass_ss3,eeg_c4,0.7190354949827767,0.6380715761607013,0.8602665867904747,0.7873854932543476,0.8709001048375019,0.8165356615962811
sleepedf,eeg_pz_oz,shhs1_normal,eeg_c4_a1,0.6936884206418886,0.5829007464074379,0.8053848405033656,0.6849836495665403,0.8001170617500731,0.7100888446839545
sleepedf,eeg_pz_oz,shhs1_osa,eeg_c4_a1,0.6174191048246463,0.5112486213865879,0.7762061615965898,0.6604079410935666,0.7773687269908932,0.6963285154728125
isruc1,eeg_c3_a2,isruc1,eeg_c4_a1,0.7598850574712643,0.7253252180843678,0.7886206896551724,0.7566545030715016,0.8063218390804597,0.7704371363456458
isruc1,eeg_c4_a1,mass_ss1,eeg_c4,0.7670068027210885,0.7256854997658335,0.8083333333333333,0.7354539454327467,0.8275510204081633,0.7507837269523767
isruc1,eeg_c4_a1,mass_ss3,eeg_c4,0.8229743896959713,0.7692812302044991,0.8602665867904747,0.7873854932543476,0.8704508012580501,0.8123043933681682
isruc1,eeg_c4_a1,shhs1_normal,eeg_c4_a1,0.7388547458784509,0.655913079005296,0.8054823919617599,0.6850581652124856,0.8193346990537509,0.7381964374435699
isruc1,eeg_c4_a1,shhs1_osa,eeg_c4_a1,0.6909513660143383,0.6367384998148691,0.7763030420461151,0.6604746089224248,0.8055609378027514,0.7141118238343569
isruc1,eeg_f4_a1,isruc1,eeg_c4_a1,0.7724137931034483,0.7483680566331159,0.7886206896551724,0.7566545030715016,0.7909195402298851,0.7662558795680375
isruc1,eeg_f4_a1,mass_ss1,eeg_c4,0.7503401360544217,0.7067188734497482,0.8083333333333333,0.735387557082207,0.8236394557823129,0.739456724138194
isruc1,eeg_f4_a1,mass_ss3,eeg_c4,0.8115920323498578,0.7560763914012875,0.8604163546502921,0.7878298804773831,0.8626628725475513,0.8031705498366032
isruc1,eeg_f4_a1,shhs1_normal,eeg_c4_a1,0.7062725587747537,0.621465895122552,0.8054823919617599,0.6850581652124856,0.8202126621792996,0.7397872244687432
isruc1,eeg_f4_a1,shhs1_osa,eeg_c4_a1,0.6828134082542143,0.6313944143418222,0.7763030420461151,0.6604746089224248,0.8289091261383453,0.7382898654454122
isruc1,eeg_o2_a1,isruc1,eeg_c4_a1,0.7466666666666667,0.7114888319662672,0.7886206896551724,0.7566297903658958,0.7870114942528735,0.7613882593559771
isruc1,eeg_o2_a1,mass_ss1,eeg_c4,0.7032312925170068,0.6489109407243199,0.8085034013605442,0.7355174120943759,0.8212585034013605,0.7350882140441588
isruc1,eeg_o2_a1,mass_ss3,eeg_c4,0.7729519245169987,0.7254089790925005,0.8604163546502921,0.7878298804773831,0.8706005691178673,0.8139058599869241
isruc1,eeg_o2_a1,shhs1_normal,eeg_c4_a1,0.713491366695932,0.6221242743391467,0.8053848405033656,0.6849836495665403,0.8275290215588723,0.7418892305337556
isruc1,eeg_o2_a1,shhs1_osa,eeg_c4_a1,0.6967641929858555,0.6375368538222974,0.7763030420461151,0.660437660777959,0.8263902344506878,0.7413007590782985
mass_ss1,eeg_c3,mass_ss1,eeg_c4,0.8183673469387756,0.7348452482628824,0.8085034013605442,0.7355174120943759,0.8321428571428572,0.7513612587177076
mass_ss1,eeg_c4,isruc1,eeg_c4_a1,0.6771264367816092,0.6372209864046653,0.7886206896551724,0.7566297903658958,0.7989655172413793,0.7690931745877533
mass_ss1,eeg_c4,mass_ss3,eeg_c4,0.8361539613598922,0.7766007155238753,0.8604163546502921,0.7878298804773831,0.8686535869402426,0.8125280933470013
mass_ss1,eeg_c4,shhs1_normal,eeg_c4_a1,0.6523266022827041,0.5493586182217852,0.8054823919617599,0.6850581652124856,0.8040191200858453,0.699900658889442
mass_ss1,eeg_c4,shhs1_osa,eeg_c4_a1,0.6201317574113544,0.5385797064279612,0.7763030420461151,0.660437660777959,0.8058515791513272,0.7074696304882476
mass_ss1,eeg_f4,isruc1,eeg_c4_a1,0.6428735632183908,0.5879199014227062,0.7886206896551724,0.7566545030715016,0.7914942528735632,0.7584487736431591
mass_ss1,eeg_f4,mass_ss1,eeg_c4,0.7841836734693878,0.6500822209978077,0.8081632653061225,0.7353239852786339,0.819047619047619,0.7256934845777016
mass_ss1,eeg_f4,mass_ss3,eeg_c4,0.8333083720233638,0.7707169088946435,0.8604163546502921,0.7878298804773831,0.8720982477160402,0.8086452822087786
mass_ss1,eeg_f4,shhs1_normal,eeg_c4_a1,0.6511559847819725,0.5227783995177757,0.8054823919617599,0.6850581652124856,0.817481221344259,0.7273520675636055
mass_ss1,eeg_f4,shhs1_osa,eeg_c4_a1,0.6544274365433056,0.5268376629810151,0.7762061615965898,0.6604079410935666,0.8165084285991087,0.722382379377302
mass_ss1,eeg_o2,isruc1,eeg_c4_a1,0.6850574712643678,0.6390406406443496,0.7886206896551724,0.7566297903658958,0.7920689655172414,0.7667669302805066
mass_ss1,eeg_o2,mass_ss1,eeg_c4,0.8018707482993197,0.7220899638365562,0.8085034013605442,0.7355174120943759,0.8188775510204082,0.7361145850886174
mass_ss1,eeg_o2,mass_ss3,eeg_c4,0.8392990864160551,0.7553897209464229,0.8604163546502921,0.7878298804773831,0.8713494084169537,0.8158881496354878
mass_ss1,eeg_o2,shhs1_normal,eeg_c4_a1,0.6707638279192274,0.5729108238857161,0.8054823919617599,0.6850581652124856,0.808408935713589,0.727895935821512
mass_ss1,eeg_o2,shhs1_osa,eeg_c4_a1,0.6842666149970936,0.5840181848609165,0.7762061615965898,0.6604079410935666,0.8229025382677776,0.7311895740678381
mass_ss1,eeg_pz,isruc1,eeg_c4_a1,0.6867816091954023,0.6460319738790129,0.7886206896551724,0.7566297903658958,0.7922988505747126,0.7656834959029373
mass_ss1,eeg_pz,mass_ss1,eeg_c4,0.8074829931972789,0.7060296748790259,0.8081632653061225,0.7353239852786339,0.8207482993197279,0.7515770175723697
mass_ss1,eeg_pz,mass_ss3,eeg_c4,0.8425939793320354,0.7735022203778007,0.8604163546502921,0.7878298804773831,0.866706604762618,0.8065692271716077
mass_ss1,eeg_pz,shhs1_normal,eeg_c4_a1,0.6515461906155497,0.5375467833299903,0.8054823919617599,0.6850581652124856,0.8225538971807629,0.7301619463991788
mass_ss1,eeg_pz,shhs1_osa,eeg_c4_a1,0.6387328037202092,0.5321681385663669,0.7762061615965898,0.6604079410935666,0.8202867661305948,0.7292481548303451
mass_ss2,eeg_c3,mass_ss2,eeg_c4,,,,,,
mass_ss2,eeg_c4,mass_ss4,eeg_c4,,,,,,
mass_ss2,eeg_c4,mass_ss5,eeg_c4,,,,,,
mass_ss2,eeg_f4,mass_ss2,eeg_c4,,,,,,
mass_ss2,eeg_f4,mass_ss4,eeg_c4,,,,,,
mass_ss2,eeg_f4,mass_ss5,eeg_c4,,,,,,
mass_ss2,eeg_o2,mass_ss2,eeg_c4,,,,,,
mass_ss2,eeg_o2,mass_ss4,eeg_c4,,,,,,
mass_ss2,eeg_o2,mass_ss5,eeg_c4,,,,,,
mass_ss2,eeg_pz,mass_ss2,eeg_c4,,,,,,
mass_ss2,eeg_pz,mass_ss4,eeg_c4,,,,,,
mass_ss2,eeg_pz,mass_ss5,eeg_c4,,,,,,
mass_ss3,eeg_c3,mass_ss3,eeg_c4,0.8433428186311218,0.7791584374994629,0.8602665867904747,0.7873854932543476,0.8634117118466377,0.8053665044704985
mass_ss3,eeg_c4,isruc1,eeg_c4_a1,0.7059770114942528,0.6399983509010181,0.7886206896551724,0.7566545030715016,0.7991954022988506,0.7636122513188524
mass_ss3,eeg_c4,mass_ss1,eeg_c4,0.8005102040816326,0.690250576228134,0.8083333333333333,0.735387557082207,0.8397959183673469,0.7697128309059765
mass_ss3,eeg_c4,shhs1_normal,eeg_c4_a1,0.6769095697980685,0.5712668444056483,0.8055799434201542,0.6851596166874506,0.805189737586577,0.7283711636957915
mass_ss3,eeg_c4,shhs1_osa,eeg_c4_a1,0.6729316024026352,0.5598226891878783,0.7762061615965898,0.6604079410935666,0.8338500290641349,0.7410773764144237
mass_ss3,eeg_f4,isruc1,eeg_c4_a1,0.6162068965517241,0.552786059072189,0.7886206896551724,0.7566545030715016,0.8013793103448276,0.7681722827393968
mass_ss3,eeg_f4,mass_ss1,eeg_c4,0.736734693877551,0.588608324735338,0.8079931972789116,0.7351610471051238,0.8329931972789115,0.7544216685082252
mass_ss3,eeg_f4,mass_ss3,eeg_c4,0.8298637112475663,0.760916115804363,0.8602665867904747,0.7873854932543476,0.8508312116219859,0.7944172641079494
mass_ss3,eeg_f4,shhs1_normal,eeg_c4_a1,0.582089552238806,0.46902987716604383,0.8055799434201542,0.6851596166874506,0.821968588430397,0.7497015623442634
mass_ss3,eeg_f4,shhs1_osa,eeg_c4_a1,0.6149970935865142,0.49607084216099173,0.7762061615965898,0.6604079410935666,0.8073047858942065,0.7218260504329865
mass_ss3,eeg_o2,isruc1,eeg_c4_a1,0.6865517241379311,0.6392188340871694,0.7886206896551724,0.7566545030715016,0.8,0.7589697059748284
mass_ss3,eeg_o2,mass_ss1,eeg_c4,0.7896258503401361,0.7025858118184676,0.8081632653061225,0.7353239852786339,0.8285714285714286,0.7448956060606946
mass_ss3,eeg_o2,mass_ss3,eeg_c4,0.8271678897708552,0.7534361991071383,0.8604163546502921,0.7878298804773831,0.8691028905196945,0.8067118897628258
mass_ss3,eeg_o2,shhs1_normal,eeg_c4_a1,0.6606184762462198,0.5763400497363186,0.8054823919617599,0.6850581652124856,0.8086040386303776,0.718637957112032
mass_ss3,eeg_o2,shhs1_osa,eeg_c4_a1,0.688141832978105,0.606937021711411,0.7763999224956404,0.660537118460164,0.7918039139701608,0.7092194547732722
mass_ss3,eeg_pz,isruc1,eeg_c4_a1,0.67,0.61322627115685,0.7886206896551724,0.7566297903658958,0.8021839080459771,0.7738910513589715
mass_ss3,eeg_pz,mass_ss1,eeg_c4,0.7894557823129251,0.6946930175626307,0.8083333333333333,0.735387557082207,0.8340136054421768,0.7495047361046465
mass_ss3,eeg_pz,mass_ss3,eeg_c4,0.8446907293694773,0.7751552765208963,0.8604163546502921,0.7878298804773831,0.8596675153512057,0.8022068836297155
mass_ss3,eeg_pz,shhs1_normal,eeg_c4_a1,0.6330114135206322,0.5450422185648626,0.8054823919617599,0.6850581652124856,0.79845868695737,0.7179043100568615
mass_ss3,eeg_pz,shhs1_osa,eeg_c4_a1,0.6450300329393528,0.5538325653423659,0.7762061615965898,0.6604079410935666,0.8057546987018019,0.7184915611950137
mass_ss4,eeg_c3,mass_ss4,eeg_c4,,,,,,
mass_ss4,eeg_c4,mass_ss2,eeg_c4,,,,,,
mass_ss4,eeg_c4,mass_ss5,eeg_c4,,,,,,
mass_ss4,eeg_o2,mass_ss2,eeg_c4,,,,,,
mass_ss4,eeg_o2,mass_ss4,eeg_c4,,,,,,
mass_ss4,eeg_o2,mass_ss5,eeg_c4,,,,,,
mass_ss5,eeg_c3,mass_ss5,eeg_c4,,,,,,
mass_ss5,eeg_c4,mass_ss2,eeg_c4,,,,,,
mass_ss5,eeg_c4,mass_ss4,eeg_c4,,,,,,
mass_ss5,eeg_f4,mass_ss2,eeg_c4,,,,,,
mass_ss5,eeg_f4,mass_ss4,eeg_c4,,,,,,
mass_ss5,eeg_f4,mass_ss5,eeg_c4,,,,,,
mass_ss5,eeg_o2,mass_ss2,eeg_c4,,,,,,
mass_ss5,eeg_o2,mass_ss4,eeg_c4,,,,,,
mass_ss5,eeg_o2,mass_ss5,eeg_c4,,,,,,
mass_ss5,eeg_pz,mass_ss2,eeg_c4,,,,,,
mass_ss5,eeg_pz,mass_ss4,eeg_c4,,,,,,
mass_ss5,eeg_pz,mass_ss5,eeg_c4,,,,,,
shhs1_normal,eeg_c3_a2,shhs1_normal,eeg_c4_a1,0.7962150034143011,0.7010269111539604,0.8054823919617599,0.6850581652124856,0.7945566286215979,0.7201656534218872
shhs1_normal,eeg_c4_a1,isruc1,eeg_c4_a1,0.7447126436781609,0.6536562542514099,0.7886206896551724,0.7566297903658958,0.7995402298850575,0.7685854630780777
shhs1_normal,eeg_c4_a1,mass_ss1,eeg_c4,0.7525510204081632,0.6476393633172192,0.8081632653061225,0.7353239852786339,0.8340136054421768,0.7581464433949562
shhs1_normal,eeg_c4_a1,mass_ss3,eeg_c4,0.7964654785083121,0.6895170585653567,0.8604163546502921,0.7879422872632608,0.8622135689680994,0.8017924731912037
shhs1_normal,eeg_c4_a1,shhs1_osa,eeg_c4_a1,0.8097267971323387,0.6792645084727116,0.7763030420461151,0.660437660777959,0.8204805270296455,0.6946501808623033
shhs1_osa,eeg_c3_a2,shhs1_osa,eeg_c4_a1,0.8046890137570238,0.6877705307528362,0.7762061615965898,0.6604079410935666,0.8273590389459408,0.7218239616341212
shhs1_osa,eeg_c4_a1,isruc1,eeg_c4_a1,0.7137931034482758,0.6448051044667393,0.7886206896551724,0.7566297903658958,0.7879310344827586,0.7573342925417295
shhs1_osa,eeg_c4_a1,mass_ss1,eeg_c4,0.7397959183673469,0.6445284118076913,0.8083333333333333,0.735387557082207,0.8215986394557823,0.7431026271719439
shhs1_osa,eeg_c4_a1,mass_ss3,eeg_c4,0.8151864609854725,0.7062199595763763,0.8604163546502921,0.7878298804773831,0.8704508012580501,0.8096654163982595
shhs1_osa,eeg_c4_a1,shhs1_normal,eeg_c4_a1,0.7968003121646668,0.6986010212934994,0.8055799434201542,0.6851596166874506,0.8225538971807629,0.7353249142719556
