Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7567,89.90352847892163,83.591430456664,97.0,55.7,95.1,84.2,88.6,84.2,52.1,88.4,96.7,96.3,90.1,53.9,91.6,90.0,92.3,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,21055,87.13369745903586,81.14108680401753,83.8,53.5,93.1,84.5,85.6,88.9,55.3,88.5,88.1,90.7,86.3,54.4,90.8,86.2,88.1,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,5915,87.2696534234996,79.95890779343866,80.5,58.8,92.8,87.8,82.6,84.6,44.2,89.4,88.6,93.2,82.5,50.5,91.1,88.2,87.6,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,21055,81.64806459273332,73.78656207103077,74.4,44.8,85.7,95.3,77.5,89.9,39.9,86.7,61.2,93.1,81.4,42.2,86.2,74.6,84.5,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,5915,83.38123415046492,74.34971577812405,73.5,50.7,85.6,96.2,79.7,84.6,32.8,90.7,67.0,93.8,78.6,39.8,88.1,79.0,86.2,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,5915,84.37869822485207,74.93956806025265,83.9,55.1,89.6,93.7,72.6,77.8,27.1,88.7,78.8,96.6,80.7,36.4,89.1,85.6,82.9,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,21055,86.796485395393,79.90056979729926,86.3,52.2,93.3,81.2,84.6,86.9,45.5,88.1,94.2,88.4,86.6,48.6,90.6,87.2,86.5,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,5915,88.28402366863905,80.86649088846514,85.2,59.7,93.0,86.7,85.7,81.4,43.8,90.5,95.0,90.8,83.2,50.5,91.7,90.6,88.2,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,5915,88.46999154691461,82.26542984363981,88.9,65.4,88.9,92.0,88.8,80.2,50.8,94.1,87.1,88.9,84.3,57.2,91.4,89.5,88.9,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_c4_with_randomseed_4242/predict_output_transfer_mass_ss5_eeg_f4_to_mass_ss2_eeg_c4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7567,89.81102154090128,84.84430552905971,95.3,61.7,95.5,83.2,88.5,89.2,57.5,86.4,97.2,96.2,92.1,59.5,90.7,89.7,92.2,../metadata/mass_ss5_with_channel_eeg_f4_to_mass_ss2_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
