Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,5915,85.0887573964497,78.68712429862596,82.6,62.9,83.3,93.5,89.5,80.0,49.2,95.8,77.2,77.8,81.2,55.2,89.1,84.6,83.3,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,29309,83.90937937152411,76.60413320630771,86.5,52.9,81.0,92.1,89.9,81.4,37.5,94.9,84.9,71.3,83.9,43.9,87.4,88.4,79.5,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,7567,86.53363287960882,79.96139873673572,95.0,55.2,81.4,96.4,93.0,86.8,43.6,97.1,82.5,74.7,90.7,48.7,88.6,88.9,82.9,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,29309,83.72854754512265,76.36442549010386,85.0,41.1,93.0,81.2,80.1,73.3,47.0,82.3,93.1,90.9,78.7,43.9,87.4,86.7,85.1,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,7567,85.14602880930356,77.21124729928637,91.0,35.8,93.1,81.9,84.7,68.0,55.7,84.4,92.4,94.3,77.9,43.6,88.5,86.8,89.3,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,7567,91.1854103343465,86.1501487811817,96.9,58.8,94.2,89.7,90.1,86.9,65.4,91.2,94.1,95.3,91.7,61.9,92.7,91.9,92.6,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss5_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,29309,82.98474871199973,77.55680106562343,86.1,53.8,86.8,75.5,89.2,85.5,46.7,84.3,96.5,75.5,85.8,50.0,85.6,84.7,81.8,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,7567,86.41469538786836,80.9310906789704,95.4,53.6,89.0,78.2,93.6,87.3,50.4,86.2,97.1,81.8,91.2,51.9,87.6,86.7,87.3,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,7567,91.317563102947,85.65721132236447,95.1,57.2,91.1,94.2,93.9,87.8,61.1,95.1,90.2,91.7,91.3,59.1,93.0,92.1,92.7,../metadata/mass_ss2_with_channel_eeg_c4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_mass_ss2_eeg_c4_to_mass_ss5_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
mass_ss2_with_channel_eeg_f4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,5915,84.05748098055791,71.82130154782452,83.1,45.5,87.5,92.0,75.1,69.7,17.4,91.3,80.8,92.2,75.8,25.1,89.4,86.0,82.8,../metadata/mass_ss2_with_channel_eeg_f4_to_mass_ss5_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss2_eeg_f4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
