Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7910,84.26042983565107,79.43415163494628,79.5,48.2,91.2,95.3,85.6,94.9,54.0,88.6,80.1,80.1,86.5,51.0,89.9,87.0,82.8,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,69685,49.99784745641099,45.259556701213725,86.7,30.5,50.3,87.8,25.5,38.8,15.8,75.9,43.5,47.4,53.6,20.8,60.5,58.2,33.2,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,17176,50.20377270610153,46.385339818894046,82.0,33.3,48.1,89.6,28.6,42.1,18.7,76.8,45.2,39.2,55.6,24.0,59.2,60.1,33.1,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,69685,70.81007390399654,67.8462571920919,82.2,45.2,66.5,88.8,66.1,73.4,41.2,81.6,76.4,60.5,77.6,43.1,73.3,82.1,63.2,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,17176,72.65370284117374,70.50594640576612,84.8,47.5,67.5,90.0,73.2,74.1,40.9,83.6,80.4,67.0,79.0,44.0,74.7,84.9,69.9,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,17176,79.93712156497438,78.17366014765754,86.9,59.6,76.6,92.8,79.1,88.1,49.1,84.2,86.1,80.9,87.5,53.8,80.2,89.3,80.0,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,69685,72.27523857358109,70.06692107303947,76.1,47.4,69.5,92.3,71.6,85.4,47.4,75.1,76.1,62.7,80.5,47.4,72.1,83.4,66.9,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,17176,72.65370284117374,71.10590790609247,70.7,50.9,70.7,92.8,75.8,84.9,44.5,74.9,79.5,69.6,77.2,47.4,72.7,85.6,72.6,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,17176,79.93712156497438,78.70033230438065,87.8,56.3,76.8,90.1,84.7,87.2,52.6,81.3,88.7,81.7,87.5,54.4,79.0,89.4,83.2,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7910,87.95195954487991,83.06183199139761,92.2,64.9,88.2,97.0,81.7,92.2,46.7,93.7,86.3,92.0,92.2,54.3,90.9,91.4,86.5,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
